link,category,source
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/the-gioi/nganh-san-xuat-nhom-cua-nga-doi-mat-khung-hoang-20231213141657169.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/phap-luat/triet-pha-o-nhom-hoat-dong-tin-dung-den-voi-so-tien-giao-dich-gan-8-ty-dong-20231203051118611.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tin-dung-den-bua-vay-cong-nhan-20231212193949424.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/the-gioi/tay-ban-nha-canh-bao-ve-viec-tai-tro-cua-eu-cho-ukraine-2023121318021319.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/the-gioi/kenh-dao-panama-bi-han-han-can-tro-thuong-mai-toan-cau-20231213234250301.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/the-gioi/hoi-nghi-cop28-nong-tranh-luan-ve-van-de-su-dung-nhien-lieu-hoa-thach-20231210054532482.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/the-gioi/nganh-san-xuat-nhom-cua-nga-doi-mat-khung-hoang-20231213141657169.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/phap-luat/trieu-tap-cac-doi-tuong-can-tro-viec-cam-moc-quy-hoach-mo-cat-phuc-vu-du-an-cao-toc-bac-nam-20231214020958275.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/dak-nong-phat-2-doi-tuong-ve-hanh-vi-huy-hoai-dat-20231212155204436.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/the-gioi/my-tang-thue-gap-doi-voi-nhom-thep-tho-nhi-ky-20180811110054435.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/the-gioi/cac-nuoc-eu-chia-re-ve-lenh-cam-tau-cho-dau-cua-nga-20231213085109071.htm,the-gioi.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
