link,category,source
https://vtv.vn/xa-hoi/hang-nghin-sinh-vien-tai-ha-noi-tim-kiem-co-hoi-viec-lam-20231210144201764.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/tap-huan-day-hoc-tich-hop-cho-giao-vien-toan-quoc-20231209175506386.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/thanh-pho-ho-chi-minh-cong-bo-muc-tam-thu-hoc-phi-nam-hoc-2023-2024-20231026051720722.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/hang-nghin-sinh-vien-tai-ha-noi-tim-kiem-co-hoi-viec-lam-20231210144201764.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/nhu-cau-cap-thiet-co-viec-lam-de-giam-ngheo-ben-vung-2023101622140094.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/tap-huan-day-hoc-tich-hop-cho-giao-vien-toan-quoc-20231209175506386.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/nhieu-su-kien-don-nam-moi-2024-tai-thanh-pho-hoi-an-20231213233605317.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/cong-nghe/hitech-cong-nghe-tuong-lai.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/tp-ho-chi-minh-mien-hoc-phi-cap-thcs-20231208180911929.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/doi-moi-giao-duc-can-su-mo-duong-kien-tao-di-truoc-cua-the-che-20231208125305354.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/chuong-trinh-dac-sac/toan-canh-the-gioi.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-chan-chinh-hoat-dong-cac-trung-tam-tin-hoc-ngoai-ngu-20231208150543971.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hoc-truc-tuyen.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/tp-ho-chi-minh-mien-hoc-phi-cap-thcs-20231208180911929.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/chuong-trinh-dac-sac/tap-chi-kinh-te-cuoi-tuan.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/nguoi-nuoc-ngoai-noi-ve-giao-thong-viet-nam-giong-nhu-di-tau-luon-sieu-toc-20231214202533569.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-chan-chinh-hoat-dong-cac-trung-tam-tin-hoc-ngoai-ngu-20231208150543971.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/toyota-viet-nam-to-chuc-chuong-trinh-toyota-cung-em-hoc-an-toan-giao-thong-nam-thu-19-2023120813034612.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hoc-chua-xong-da-toan-lam-ho-20231208120745781.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/toyota-viet-nam-to-chuc-chuong-trinh-toyota-cung-em-hoc-an-toan-giao-thong-nam-thu-19-2023120813034612.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/truc-tuyen/tu-van-truc-tuyen-vo-sinh-nu-do-suy-buong-trung-giam-du-tru-buong-trung-amh-thap-tru-trung-lam-me-20230525001212199.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tru-trung-cho-phu-nu-tre-truoc-khi-dieu-tri-ung-thu-vu-20231212231802404.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/thai-binh-sap-mai-nha-dang-thi-cong-khien-nhieu-nguoi-thuong-vong-20231213083314061.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/the-gioi/my-xoa-khoan-no-48-ty-usd-cho-sinh-vien-20231207181750246.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/xuc-xich-kem-chat-luong-bay-ban-truoc-cong-truong-vao-nha-an-khu-cong-nghiep-20231213093307151.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/doi-moi-giao-duc-can-su-mo-duong-kien-tao-di-truoc-cua-the-che-20231208125305354.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/choang-voi-cong-nghe-san-xuat-xuc-xich-gio-cha-kem-chat-luong-20231212110257587.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/the-gioi/ke-hoach-xoa-no-sinh-vien-my-con-nhieu-y-kien-trai-chieu-20220828003712332.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/xay-dung-2-tram-dung-nghi-cao-toc-mai-son-quoc-lo-45-20231213052951252.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hoc-chua-xong-da-toan-lam-ho-20231208120745781.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tru-trung-cho-phu-nu-tre-truoc-khi-dieu-tri-ung-thu-vu-20231212231802404.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hon-1000-hoc-sinh-thu-do-thuc-hanh-ki-nang-phong-chay-chua-chay-tai-truong-hoc-20231018172310566.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/xac-lap-ky-luc-viet-nam-ve-trinh-dien-yoga-20230812144508681.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/learn-to-leap-duoc-vinh-danh-sang-kien-giao-duc-thong-minh-sei-awards-20231207151556304.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-chong-un-tac-giao-thong-dip-cuoi-nam-20231213054423307.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/the-gioi/my-xoa-khoan-no-48-ty-usd-cho-sinh-vien-20231207181750246.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/xuc-xich-kem-chat-luong-bay-ban-truoc-cong-truong-vao-nha-an-khu-cong-nghiep-20231213093307151.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/van-hoa-giai-tri/festival-ninh-binh-trang-an-lan-thu-2-da-san-sang-20231213094305969.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/learn-to-leap-duoc-vinh-danh-sang-kien-giao-duc-thong-minh-sei-awards-20231207151556304.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/thai-binh-sap-mai-nha-dang-thi-cong-khien-nhieu-nguoi-thuong-vong-20231213083314061.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/lan-dau-tien-giang-day-phong-chay-chua-chay-trong-chuong-trinh-chinh-khoa-20231207055831718.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-xay-ra-4-vu-tai-nan-giao-thong-nghiem-trong-trong-ngay-10-12-20231211064534131.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hoc-sinh-tieu-hoc-co-the-lua-chon-hoc-1-trong-7-ngoai-ngu-20231206190948103.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/vu-hoc-sinh-xuc-pham-co-giao-o-tuyen-quang-tam-dinh-chi-cong-tac-hieu-truong-20231207070337133.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/cu-ba-78-tuoi-dat-ky-luc-viet-nam-mon-yoga-duoi-nuoc-20231213185637276.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/lan-dau-tien-giang-day-phong-chay-chua-chay-trong-chuong-trinh-chinh-khoa-20231207055831718.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ba-ria-vung-tau-tong-vao-duoi-xe-dau-keo-2-nguoi-thuong-vong-20231213080817371.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/vu-hoc-sinh-xuc-pham-co-giao-o-tuyen-quang-ky-luat-chi-la-giai-phap-truoc-mat-20231206181428368.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-chong-un-tac-giao-thong-dip-cuoi-nam-20231213054423307.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/vu-hoc-sinh-xuc-pham-co-giao-o-tuyen-quang-tam-dinh-chi-cong-tac-hieu-truong-20231207070337133.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/bo-sung-day-du-nang-luong-cho-con-vao-mua-thi-20231213114641214.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/vu-hoc-sinh-xuc-pham-co-giao-o-tuyen-quang-ky-luat-chi-la-giai-phap-truoc-mat-20231206181428368.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ba-ria-vung-tau-tong-vao-duoi-xe-dau-keo-2-nguoi-thuong-vong-20231213080817371.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/co-nen-dua-day-them-vao-nganh-kinh-doanh-co-dieu-kien-20231128203602444.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/bo-sung-day-du-nang-luong-cho-con-vao-mua-thi-20231213114641214.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hoc-sinh-tieu-hoc-co-the-lua-chon-hoc-1-trong-7-ngoai-ngu-20231206190948103.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/van-hoa-giai-tri/festival-ninh-binh-trang-an-lan-thu-2-da-san-sang-20231213094305969.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/bo-gddt-de-nghi-dieu-tra-xuyen-tac-ve-quyet-dinh-phe-duyet-sach-giao-khoa-20231205205501659.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ba-ria-vung-tau-nu-sinh-lop-7-bi-ban-hoc-hanh-hung-phai-nhap-vien-cap-cuu-20231206153536242.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tp-ho-chi-minh-thoi-gian-luu-benh-toi-da-tai-khoa-cap-cuu-tu-4-6-gio-2023121311372771.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/suc-khoe/thu-giu-lo-thuoc-tamiflu-khong-du-dieu-kien-luu-hanh-20231213114548408.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/vu-hoc-sinh-xuc-pham-co-giao-o-tuyen-quang-ky-luat-chi-la-giai-phap-truoc-mat-20231206181428368.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tu-y-dung-tamiflu-dieu-tri-cum-se-tang-nguy-co-de-khang-thuoc-20220731154154725.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/thu-truong-bo-gddt-khong-the-cam-day-them-hoc-them-20231206180527086.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/bo-gddt-de-nghi-dieu-tra-xuyen-tac-ve-quyet-dinh-phe-duyet-sach-giao-khoa-20231205205501659.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/giai-phap-thu-hut-khach-cho-cho-truyen-thong-20231213120352118.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-ho-tro-100-hoc-phi-cho-hoc-sinh-thuoc-ho-can-ngheo-2023120617313595.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/that-chat-an-toan-o-khu-vui-choi-tre-em-sau-phan-anh-cua-vtv-20231213114942477.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/thu-truong-bo-gddt-khong-the-cam-day-them-hoc-them-20231206180527086.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/an-toan-cho-tre-tai-cac-khu-vui-choi-tre-em-202312081155407.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/viet-nam-co-nhieu-kinh-nghiem-ve-phat-trien-giao-duc-ma-chung-toi-co-the-hoc-tap-20231130113540683.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-ho-tro-100-hoc-phi-cho-hoc-sinh-thuoc-ho-can-ngheo-2023120617313595.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/vang-bong-khach-le-tai-cho-truyen-thong-dip-cuoi-nam-20231212234007048.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-de-xuat-ho-tro-50-hoc-phi-doi-voi-hoc-sinh-thuoc-ho-can-ngheo-20231025115312365.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tp-ho-chi-minh-thoi-gian-luu-benh-toi-da-tai-khoa-cap-cuu-tu-4-6-gio-2023121311372771.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/suc-khoe/thu-giu-lo-thuoc-tamiflu-khong-du-dieu-kien-luu-hanh-20231213114548408.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/bo-gddt-de-nghi-dieu-tra-xuyen-tac-ve-quyet-dinh-phe-duyet-sach-giao-khoa-20231205205501659.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/wise-11-viet-nam-chia-se-mo-hinh-giao-duc-ve-bien-doi-khi-hau-cho-thanh-nien-20231205185729783.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/kiem-tra-an-toan-thuc-pham-tai-cac-co-so-giao-duc-o-tp-ho-chi-minh-20231205093955889.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/dinh-huong-cho-the-he-gen-alpha-ve-bao-ve-moi-truong-xanh-sach-dep-20231123145607985.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/bo-y-te-thong-tin-ve-so-siro-ho-va-hon-dich-nhiem-doc-do-who-canh-bao-20231213155244327.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/dai-hoc-quoc-gia-tp-ho-chi-minh-se-doi-moi-de-thi-danh-gia-nang-luc-tu-2025-2023120511581109.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/bao-dien-tu-vtv-news-dat-giai-a-cuoc-thi-viet-ve-moi-truong-nganh-cong-thuong-20231213134325001.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/wise-11-viet-nam-chia-se-mo-hinh-giao-duc-ve-bien-doi-khi-hau-cho-thanh-nien-20231205185729783.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/truong-dh-fpt-cong-bo-chuong-trinh-hoc-bong-thu-hut-va-phat-trien-tai-nang-20231204174629674.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/that-chat-an-toan-o-khu-vui-choi-tre-em-sau-phan-anh-cua-vtv-20231213114942477.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/bao-dien-tu-vtv-news-dat-giai-a-cuoc-thi-viet-ve-moi-truong-nganh-cong-thuong-20231213134325001.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/dai-hoc-quoc-gia-tp-ho-chi-minh-se-doi-moi-de-thi-danh-gia-nang-luc-tu-2025-2023120511581109.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/vu-chay-o-nam-tu-liem-nguoi-dan-phat-hien-thi-lua-da-rat-lon-20231213170843526.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-chay-lon-tai-cua-hang-co-khi-phe-lieu-tai-phuong-trung-van-20231213162424883.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/tp-ho-chi-minh-nhieu-truong-dai-hoc-cong-bo-diem-chuan-xet-tuyen-thi-danh-gia-nang-luc-20230624201346655.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/giai-phap-thu-hut-khach-cho-cho-truyen-thong-20231213120352118.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/dai-hoc-tang-hoc-phi-thi-sinh-can-nhac-chon-truong-20230725171350723.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/kiem-tra-an-toan-thuc-pham-tai-cac-co-so-giao-duc-o-tp-ho-chi-minh-20231205093955889.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/nang-cao-nhan-thuc-cua-tre-ve-thuc-pham-an-toan-20231118181911622.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/bo-y-te-thong-tin-ve-so-siro-ho-va-hon-dich-nhiem-doc-do-who-canh-bao-20231213155244327.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-chay-lon-tai-cua-hang-co-khi-phe-lieu-tai-phuong-trung-van-20231213162424883.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/vu-chay-o-nam-tu-liem-nguoi-dan-phat-hien-thi-lua-da-rat-lon-20231213170843526.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/truong-dh-fpt-cong-bo-chuong-trinh-hoc-bong-thu-hut-va-phat-trien-tai-nang-20231204174629674.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/giao-duc/phu-huynh-ban-khoan-chon-truong-cho-con-tu-vach-xuat-phat-20231204031919783.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/100-nam-nghien-cuu-va-dieu-tri-benh-ung-thu-20231101194904739.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/the-gioi/indonesia-phat-tu-4-nguoi-trong-vu-siro-ho-nhiem-doc-20231102223101551.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-chay-lon-tai-cua-hang-co-khi-phe-lieu-tai-phuong-trung-van-20231213162424883.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hang-nghin-thi-sinh-khoi-dong-mua-tuyen-sinh-dai-hoc-2024-20231203222304965.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/gan-1-trieu-nguoi-rut-bao-hiem-xa-hoi-mot-lan-trong-10-thang-nam-2023-20231213164516084.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/phu-huynh-ban-khoan-chon-truong-cho-con-tu-vach-xuat-phat-20231204031919783.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/ha-noi-chay-lon-tai-cua-hang-co-khi-phe-lieu-tai-phuong-trung-van-20231213162424883.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/gan-1-trieu-nguoi-rut-bao-hiem-xa-hoi-mot-lan-trong-10-thang-nam-2023-20231213164516084.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hang-nghin-thi-sinh-khoi-dong-mua-tuyen-sinh-dai-hoc-2024-20231203222304965.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/suc-khoe/lop-hoc-dac-biet-danh-cho-benh-nhi-ung-thu-20231203180638942.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tp-ho-chi-minh-tim-nguoi-than-cho-be-trai-so-sinh-bi-bo-roi-ben-le-duong-20231213174842213.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/hon-500-thi-sinh-du-thi-tieng-hat-sinh-vien-toan-quoc-nam-2023-kv-phia-bac-20231202073054327.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/tp-ho-chi-minh-tim-nguoi-than-cho-be-trai-so-sinh-bi-bo-roi-ben-le-duong-20231213174842213.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-de-xuat-dung-ngan-sach-di-doi-truong-dai-hoc-ra-khoi-noi-do-20231203055917258.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/suc-khoe/lop-hoc-dac-biet-danh-cho-benh-nhi-ung-thu-20231203180638942.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/gia-tang-vi-khuan-khang-thuoc-sau-dai-dich-covid-19-20231104215713405.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/cac-tinh-thanh-pho-khu-vuc-bac-bo-chu-dong-ung-pho-voi-ret-dam-ret-hai-20231213181055913.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/ha-noi-de-xuat-dung-ngan-sach-di-doi-truong-dai-hoc-ra-khoi-noi-do-20231203055917258.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/that-chat-an-toan-o-khu-vui-choi-tre-em-sau-phan-anh-cua-vtv-20231213114942477.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/giao-luu-truc-tuyen-bat-dau-ky-thi-danh-gia-tu-duy-them-nhieu-co-hoi-du-thi-cho-thi-sinh-20231202094621563.htm,giao-duc.htm,https://vtv.vn/
https://vtv.vn/dong-su-kien/da-chieu-cau-chuyen-quoc-te-238.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/xay-dung-2-tram-dung-nghi-cao-toc-mai-son-quoc-lo-45-20231213052951252.htm,xa-hoi.htm,https://vtv.vn/
https://vtv.vn/giao-duc/shinhan-life-dong-hanh-cung-lang-tre-em-sos-da-nang-20231130200445304.htm,giao-duc.htm,https://vtv.vn/
