link,category,source
https://vtv.vn/phap-luat/vung-tau-bao-chot-kiem-tra-nong-do-con-bi-cong-an-moi-lam-viec-20231214133038174.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/chinh-tri/vung-1-hai-quan-thong-tin-chuyen-de-ve-bien-dao-tai-tinh-hung-yen-20231214133926798.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khong-tim-duoc-con-no-nguoi-dan-ong-hoang-bao-mat-450-trieu-dong-20231214074248453.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/chinh-tri/vung-1-hai-quan-thong-tin-chuyen-de-ve-bien-dao-tai-tinh-hung-yen-20231214133926798.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/nhom-doi-tuong-di-doi-no-no-sung-doa-nguoi-o-quang-tri-20231214075612796.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/vung-tau-bao-chot-kiem-tra-nong-do-con-bi-cong-an-moi-lam-viec-20231214133038174.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/nhom-doi-tuong-di-doi-no-no-sung-doa-nguoi-o-quang-tri-20231214075612796.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/phat-hien-hon-1600-chai-ruou-ngoai-khong-ro-nguon-goc-xuat-xu-20231214075041365.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/kip-thoi-ngan-chan-36-hoc-sinh-mua-hoa-chat-de-che-tao-phao-20231214080437807.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/phat-hien-hon-1600-chai-ruou-ngoai-khong-ro-nguon-goc-xuat-xu-20231214075041365.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khoi-to-4-doi-tuong-mo-tiec-ma-tuy-trong-phong-karaoke-20231213143018217.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/chieu-lua-cua-o-nhom-gia-danh-bac-si-ban-thuoc-cho-8000-nguoi-thu-ve-30-ty-dong-20231213185028565.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khong-tim-duoc-con-no-nguoi-dan-ong-hoang-bao-mat-450-trieu-dong-20231214074248453.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/kip-thoi-ngan-chan-36-hoc-sinh-mua-hoa-chat-de-che-tao-phao-20231214080437807.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khong-tim-duoc-con-no-nguoi-dan-ong-hoang-bao-mat-450-trieu-dong-20231214074248453.htm,phap-luat.htm,https://vtv.vn/
